"filename", "language", "JSON", "C++", "JavaScript", "Markdown", "JavaScript JSX", "CMake", "XML", "PostCSS", "HTML", "Dotenv", "MS SQL", "Properties", "YAML", "Dart", "Swift", "comment", "blank", "total"
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\database\glotelho_db_complet.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 0, 0, 67, 24, 328
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\README.md", "Markdown", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 65
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\check.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\package-lock.json", "JSON", 3827, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3828
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\package.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\prisma\migrations\20260706101630_make_order_id_nullable\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 346, 0, 0, 0, 0, 59, 80, 485
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\prisma\migrations\20260707123641_sync_delivery_persons\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 15, 8, 36
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\app.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 50
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\config\firebase-admin.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\config\firebaseAdmin.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\middlewares\authMiddleware.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\middlewares\livreurOnly.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\middlewares\managerOnly.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\middlewares\upload.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\administration\adminRoutes.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\administration\bordereauAdminRoutes.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\administration\bordereauController.js", "JavaScript", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39, 213
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\administration\litigeController.js", "JavaScript", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 152
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\administration\litigeRoutesAdminRoutes.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\administration\livreurController.js", "JavaScript", 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 179
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\administration\livreurRoutesAdminRoutes.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 22
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\administration\profilAdminRoutes.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\administration\profilController.js", "JavaScript", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 29, 228
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\administration\recouvrementController.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\administration\recouvrementRoutesAdminRoutes.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\auth\authController.js", "JavaScript", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 173
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-backoffice\backend\src\modules\auth\authRoutes.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 33
